■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP
ブレイザー・アグニ	380	ニュード(チャージ)	2750/6875/11000	1x4	0	5.0	4.0	4.0	ブレイザーRFを所持	隕鉄塊x30 ニュード素子x25 ニュード融素子x2	250
ブレイザー・バースト	390	ニュード(チャージ)(3点射)	1300/1950/2600	9x4	540	5.0	1.5	3.2	ブレイザー・アグニを所持	クリティカルキル/銀x5 複層重合金属x2 ニュード群体x15 ニュード融素子x1	350
ブレイザー・ロアー	410	ニュード(チャージ)(一斉発射x5)	900/1800/2700	5x5	900	5.0	3.0	4.5	ブレイザー・バーストを所持	クリティカルキル/銀x10 複層重合金属x5 真鋼テクタイトx3 ニュード集積体x2	500

●可変狙撃銃系統(タイプA)
○名称	重量	属性	方式	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
52式可変狙撃銃	260	実弾	単射	2500	9x5	150	3.0	2.5	38式狙撃銃・新式、イーグルアイ・ゼロを所持	鉛板x30 超剛性メタルx2	50
52式可変狙撃銃・改	270	実弾	単射	1950	12x4	240	2.5	3.0	52式可変狙撃銃を所持	複層重合金属x1 ハニカム回路x15 高磁性アグミナx2	150
53式可変狙撃銃	280	実弾	単射	3100	6x6	150	3.0	2.0	52式可変狙撃銃・改を所持	隕鉄塊x30 チタン鋼x20 モノリスＮＳＩx1	250
55式可変狙撃銃	300	実弾	単射	4550	3x5	150	3.5	3.5	53式可変狙撃銃を所持	最優秀戦闘章x3 超剛性メタルx5 複層重合金属x2 ロセンジ重回路x10	350

●可変狙撃銃系統(タイプB)
○名称	重量	属性	方式	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
52式可変狙撃銃	260	実弾	3点射	1450	9x5	450	3.0	2.5	38式狙撃銃・新式、イーグルアイ・ゼロを所持	鉛板x30 超剛性メタルx2	50
52式可変狙撃銃・改	270	実弾	3点射	1250	12x4	720	2.5	3.0	52式可変狙撃銃を所持	複層重合金属x1 ハニカム回路x15 高磁性アグミナx2	150
53式可変狙撃銃	280	実弾	3点射	1800	6x6	450	3.0	2.0	52式可変狙撃銃・改を所持	隕鉄塊x30 チタン鋼x20 モノリスＮＳＩx1	250
55式可変狙撃銃	300	実弾	3点射	2650	3x5	450	3.5	3.5	53式可変狙撃銃を所持	最優秀戦闘章x3 超剛性メタルx5 複層重合金属x2 ロセンジ重回路x10	350

●炸薬狙撃銃系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	爆発半径	リロード時間	条件	素材・勲章	GP
炸薬狙撃銃	350	実弾50%／爆発50%(単射)	4100	2x8	150	4.0	11	4.5	累計バトル時間53000秒以上。または狙撃兵装の累計スコア40000pt以上	隕鉄塊x10 超剛性メタルx1 黄金片x15	50
炸薬狙撃銃・改	330	実弾50%／爆発50%(単射)	2700	6x5	150	3.5	10	5.5	炸薬狙撃銃を所持	鉛板x25 複層重合金属x1 メタモチップx2	150
炸薬狙撃銃・連式	390	実弾50%／爆発50%(3点射)	3000	3x7	360	3.5	9	4.0	炸薬狙撃銃・改を所持	プラントガード/銀x3 超剛性メタルx3 ソノチップx3 カロラチップx2	250
炸薬狙撃銃・絶火	400	実弾50%／爆発50%	7500	1x4	0	5.0	14	7.0	炸薬狙撃銃・連式を所持	プラントガード/銀x5 複層重合金属x3 銀片x15 メタモチップx3	350
炸薬狙撃銃・紅蓮	430	実弾50%／爆発50%(3点射)	1650	9x3	480	4.0	12	6.5	炸薬狙撃銃・絶火を所持	プラントガード/銀x10 ウーツ重鋼x15 カロラチップx3 破損ＩＣx10	500

●バトルライフル系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
バトルライフル	220	実弾	1680	10x3	300	2.0	3.8	イーグルアイTFを所持	チタン鋼x15 超剛性メタルx2	50
バトルライフルBF	240	実弾(3点射)	650	15x4	800	2.0	3.2	バトルライフルを所持	隕鉄塊x10 複層重合金属x1 ニュード胚x10	150
バトルライフルBF2	260	実弾(3点射)	1050	9x5	600	2.5	2.8	バトルライフルBFを所持	鉛板x25 ウーツ重鋼x5 ニュード融素子x2	250
バトルライフルS	280	実弾	2260	8x3	240	2.5	3.8	バトルライフルBF2を所持	施設破壊章x3 複層重合金属x3 ニュード集積体x5	350
バトルライフルCSM	240	実弾(フルオート)	1570	10x3	240	2.0	3.2	バトルライフルSを所持	施設破壊章x5 隕鉄塊x15 超剛性メタルx5 ニュード融素子x1	500
ティグリドル	240	実弾(3点射)	650	15x4	800	2.0	3.2	BB.NET専用アイテム	「『BORDER BREAK UNION』VS『PSO2』コラボキャンペーン」	なし

●MLZ系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	充填時間	リロード時間	条件	素材・勲章	GP
MLZ－シグニズ	360	ニュード(チャージ)	1920/2400x3/2880x3	3x4	150	4.0	2.5	3.0	ブレイザーRFを所持	ニュード卵x20 ニュード群体x5 ニュード集積体x1	150
MLZ－シグニズII	380	ニュード(チャージ)	1500/1875x3/2250x3	5x3	150	4.0	1.5	2.0	MLZ-シグニズを所持	プライムキーパーx5 ニュード素子x15 ニュード融素子x2 ペンタクル回路x5	250
MLZ－リオニーズ	430	ニュード(X字)(単射)(チャージ)	2100/2625x5/3150x5	1x4	0	5.0	4.0	4.0	MLZ－シグニズIIを所持	プライムキーパーx15 ニュード胚x30 ニュード集積体x5 高磁性アグミナx5	350
MLZ－アーシズ	440	ニュード(チャージ)	1860/2325x5/2790x5	2x2	150	5.0	3.5	3.6	MLZ－リオニーズを所持	プライムキーパーx20 ニュード卵x30 ニュード融素子x2 モノリスＮＳＩx2	500

●BSR系統(タイプA)
○名称	重量	属性	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
BSR－イグナイト	330	実弾	3100	4x5	150	3.5	4.5	38式狙撃銃・遠雷およ炸薬狙撃銃・改を所持	ウーツ重鋼x5 破損ＩＣx20 ペンタクル回路x10	150
BSR－イグナイトC	320	実弾	2700	8x3	240	3.0	3.5	イグナイトを所持	複層重合金属x1 ハニカム回路x20 高磁性アグミナx2	250
BSR－イラプション	320	実弾	3000	3x4	360	3.0	2.5	イグナイトCを所持	COMBO/銀x10 鉛板x30 超剛性メタルx2 モノリスＮＳＩx2	350
BSR－ボーライド	390	実弾	8000	1x3	(単発)	4.5	6.0	イラプションを所持	COMBO/銀x20 隕鉄塊x15 複層重合金属x3 ロゼンジ重回路x10	500

●BSR系統(タイプB)
○名称	重量	属性	威力	総弾数	連射速度	精密照準	爆発半径	リロード時間	条件	素材・勲章	GP
BSR－イグナイト	330	実弾50%／爆発50%(単射)	2700	4x5	150	3.5	11	4.5	38式狙撃銃・遠雷およ炸薬狙撃銃・改を所持	ウーツ重鋼x5 破損ＩＣx20 ペンタクル回路x10	150
BSR－イグナイトC	320	実弾50%／爆発50%(単射)	2300	8x3	240	3.0	10	3.5	イグナイトを所持	複層重合金属x1 ハニカム回路x20 高磁性アグミナx2	250
BSR－イラプション	320	実弾50%／爆発50%(3点射)	2450	3x4	360	3.0	13	2.5	イグナイトCを所持	COMBO/銀x10 鉛板x30 超剛性メタルx2 モノリスＮＳＩx2	350
BSR－ボーライド	390	実弾50%／爆発50%(単射)	6500	1x3	(単発)	4.5	16	6.0	イラプションを所持	COMBO/銀x20 隕鉄塊x15 複層重合金属x3 ロゼンジ重回路x10	500

●SBR系統(タイプA)
○名称	重量	属性	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
SBR－ハンター	370	実弾(単射)	4300	3x3	150	5.0	4.8	?	銅片x25 銀片x10 破損ＩＣx25	150
SBR－ハンターC	390	実弾(単射)	3200	5x4	150	4.0	3.5	SBR－ハンターを所持	黄金片x20 ハニカム回路x20 ペンタクル回路x10	250
SBR－スレイヤー	420	実弾(三点射)	2900	3x6	450	4.0	2.5	SBR－ハンターCを所持	クリティカルキル/銀x5 メタモチップx3 ロゼンジ重回路x10 モノリスＮＳＩx1	350
SBR－デッドアイ	460	実弾(単射)	8500	1x2	(単発)	5.0	8.0	SBR－スレイヤーを所持	クリティカルキル/銀x10 ソノチップx15 ルミノチップx2 高磁性アグミナx7	500

●SBR系統(タイプB)
○名称	重量	属性	威力	総弾数	連射速度	精密照準	リロード時間	条件	素材・勲章	GP
SBR－ハンター	370	実弾(単射)	5500	3x3	150	5.0	4.8	?	銅片x25 銀片x10 破損ＩＣx25	150
SBR－ハンターC	390	実弾(単射)	4500	5x4	150	4.0	3.5	SBR－ハンターを所持	黄金片x20 ハニカム回路x20 ペンタクル回路x10	250
SBR－スレイヤー	420	実弾(三点射)	3550	3x6	450	4.0	2.5	SBR－ハンターCを所持	クリティカルキル/銀x5 メタモチップx3 ロゼンジ重回路x10 モノリスＮＳＩx1	350
SBR－デッドアイ	460	実弾(単射)	15000	1x2	(単発)	5.0	8.0	SBR－スレイヤーを所持	クリティカルキル/銀x10 ソノチップx15 ルミノチップx2 高磁性アグミナx7	500

●ジャンプマイン系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	条件	素材・勲章	GP
ジャンプマイン	150	爆発	8500	1x4	22	1.0	クラスC1到達。または累計バトル時間19000秒で支給。	なし	0
ジャンプマインS	160	爆発	7000	1x5	25	1.0	ジャンプマインを所持	隕鉄塊x30 超剛性メタルx1 ソノチップx3	150
ジャンプマインV	190	爆発	12000	1x3	20	1.0	ジャンプマインSを所持	工作章x3 ウーツ重鋼x10 メタモチップx5	250
ジャンプマインX	240	爆発	15000	1x2	26	1.0	ジャンプマインVを所持	工作章x10 複合重合金属x2 黄金片x15 高磁性アグミナx3	350

●スティッキーボム系統
○名称	重量	属性	威力	総弾数	爆発半径	起爆時間	リロード時間	条件	素材・勲章	GP
スティッキーボム	140	爆発	2700x3	1x5	18	1.3	1.3	ジャンプマインSを所持	隕鉄塊x20 銅片x20	150
スティッキーボムS	150	爆発	1500x5	1x7	14	0.8	1.2	スティッキーボムを所持	ターレットスキル銅x3 鉛板x25 銀片x15 ソノチップx5	250
スティッキーボムV	180	爆発	5100x2	1x4	22	2.2	1.7	スティッキーボムSを所持	ターレットスキル銅x7 チタン鋼x20 メタモチップx2 カロラチップx1	350

◆補助装備
●偵察機系統
○名称	重量	索敵時間	索敵範囲	所持数	滞空時間	飛翔距離	飛翔速度	条件	素材・勲章	GP
ラーク偵察機	380	10	80	3	10	200	35	初期装備	なし	0
ファルコン偵察機	370	10	65	3	12	500	60	ラーク偵察機を所持	ニュード胚x10 ニュード素子x5	150
アウル偵察機	400	10	120	2	20	200	18	ファルコン偵察機を所持	ニュード素子x10 ニュード集積体x3	250
ロビン偵察機	390	10	250	2	5	20	35	アウル偵察機を所持	戦友章x7 ニュード卵x30 ニュード群体x10 ニュード融素子x1	350
ストーク偵察機	410	10	100	2	60	50	2.6	ロビン偵察機を所持	戦友章x15 ニュード胚x5 ニュード集積体x5 モノリスＮＳＩx2	500
ガルーダ	370	10	65	3	12	500	60	BB.NET専用アイテム	金メダルx1	0
ギィ	380	10	100	2	20	200	18	BB.NET専用アイテム	BBコラボチケットx100枚	0

●レーダーユニット系統
○名称	重量	索敵時間	索敵範囲	索敵角度	拡大速度	拡大所要時間	条件	素材・勲章	GP
レーダーユニット	390	12	210	60	A+	1.6	累計バトル時間51000秒。または遊撃スコア4000pt以上。	隕鉄塊x10 ニュード集積体x2 黄金片x10	150
レーダーユニットII	400	12	170	120	B+	2.2	レーダーユニットを所持	スカウター/金x20 チタン鋼x10 ニュード融素子x2 銀片x10	250
レーダーユニットIII	430	12	140	360	C+	2.45	レーダーユニットIIを所持	スカウター/金x50 ウーツ重鋼x5 ニュード群体x5 カロラチップx3	500

●NDディテクター系統
○名称	重量	索敵時間	感知距離	拡大倍率	索敵感度	条件	素材・勲章	GP
NDディテクター	260	8	150	2	B-	?	ニュード卵x20 ハニカム回路x15 ペンタクル回路x25	250
NDディテクターH	300	8	100	1.5	A-	NDディテクターを所持	スカウター/金x20 ニュード素子x10 ニュード群体x20 高磁性アグミナx2	350
NDディテクターL	330	8	200	3	C	NDディテクターHを所持	スカウター/金x50 ニュード集積体x3 ニュード結晶体x1 モノリスＮＳＩx4	500

●クリアリングソナー系統
○名称	重量	索敵時間	索敵範囲	所持数	リロード時間	起爆時間	条件	素材・勲章	GP
クリアリングソナー	310	12	80	5	1.0	1.5	?	銅片x25 破損ＩＣx25 ペンタクル回路x5	250
クリアリングソナーM	280	12	60	6	1.0	0.8	クリアリングソナーを所持	スカウター/金x20 黄金片x20 ロゼンジ重回路x15 誘電ヘリックスx1	350

●セントリーガン系統
○名称	重量	属性	威力	総弾数	連射速度	リロード時間	条件	素材・勲章	GP
セントリーガンSMG	380	実弾	80	30x∞	800	3.0	初期装備でなくなったため条件不明	ニュード卵x3 銅片x3	50
セントリーガンAC	410	実弾	520	5x∞	150	4.0	セントリーガンSMGを所持	銅片x10 黄金片x3	150
セントリーガンLZ	420	ニュード	840	3x∞	120	4.2	セントリーガンACを所持	遊撃章x5 ニュード卵x20 ニュード群体x5 銀片x10	250
セントリーガンSHG	450	実弾	230x8	3x∞	800	3.2	セントリーガンLZを所持	遊撃章x10 銅片x10 ソノチップx5 カロラチップx2	350

●エアロセントリー系統
○名称	重量	属性	威力	所持数	総弾数	連射速度	リロード時間	条件	素材・勲章	GP
エアロセントリー	410	実弾	70	2	20x∞	420	4.0	セントリーガンACを所持	ニュード胚x20 銅片x20 メタモチップx1	150
エアロセントリーS	450	実弾	200	3	3x∞	120	2.5	エアロセントリーを所持	ニュード集積体x2 銀片x10 カロラチップx2	250
エアロセントリーV	460	実弾	720	1	10x∞	75	3.2	エアロセントリーSを所持	戦闘勝利章x5 ニュード融素子x3 黄金片x15 破損ＩＣx20	350
エアロセントリーLZ	470	ニュード	800	1	2x∞	120	2.7	エアロセントリーVを所持	戦闘勝利章x10 ニュード素子x25 カロラチップx1 モノリスＮＳＩx3	500

●モスキート系統
○名称	重量	属性	威力	所持数	総弾数	連射速度	リロード時間	条件	素材・勲章	GP
FAS－モスキート	490	ニュード	250	5	6x∞	120	1.5	?	黄金片x15 破損ＩＣx20 ロゼンジ重回路x10	250
FAS－モスキートN	510	ニュード	160	6	10x∞	150	1.0	FAS－モスキートを所持	遊撃章x5 ソノチップx5 高磁性アグミナx10 誘電ヘリックスx1	250

●高振動ブレード系統
○名称	重量	属性	通常攻撃(威力)	特殊攻撃(威力)	充填効果	充填時間	条件	素材・勲章	GP
高振動ブレード	160	近接(チャージ)	斬撃Lv1(2500/3750/5000)	Lv1(3500/5250/7000)	小	2	クラスC1で支給	なし	0
新型高振動ブレード	170	近接(チャージ)	斬撃Lv1(2500/3750/5000)	Lv2(4000/6000/8000)	小	1	高振動ブレードを所持	COMBO/銀x5 鉛板x35 ウーツ重鋼x5 ソノチップx5	250
強化高振動ブレード	250	近接(チャージ)	斬撃Lv1(2500/4375/6250)	Lv3(4000/7000/10000)	中	4	新型高振動ブレードを所持	COMBO/銀x15 超剛性メタルx3 複層重合金属x2 メタモチップx2	350
シャルフエッジ	220	近接(チャージ)	斬撃Lv1(2500/3750/5000)	Lv2(4000/6000/8000)	小	1	BB.NET専用アイテム	金メダルx1	0

●リモートシューター系統
○名称	重量	属性	威力	所持数	総弾数	連射速度	リロード時間	条件	素材・勲章	GP
リモートシューター	500	ニュード	1300	2	8x∞	240	3.5	累計バトル時間69000秒以上または遊撃スコア5000pt以上。	ニュード卵x25 ペンタクル回路x10 高磁性アグミナx1	250
リモートシューターS	480	ニュード	500	3	30x∞	600	2.0	リモートシューターを所持	トリックスター/銀x3 ニュード融素子x2 ハニカム回路x10 ペンタクル回路x10	350
リモートシューターX	570	ニュード(単射)	2600	1	4x∞	120	4.0	リモートシューターSを所持	トリックスター/銀x7 ニュード群体x15 ロゼンジ重回路x5 モノリスＮＳＩx2	500

●スタングレネード系統
○名称	重量	効果持続	所持数	爆発半径	リロード時間	起爆時間	条件	素材・勲章	GP
スタングレネード	210	2.5	3	15	1.0	3.0	?	ニュード卵x30 銅片x20 高磁性アグミナx1	150
スタングレネード改	200	2.0	3	12	1.0	1.0	スタングレネードを所持	白銀武勲x20 ニュード素子x15 カロラチップx1 ロゼンジ重回路x10	250
新型スタングレネード	250	3.0	2	20	1.0	4.5	スタングレネード改を所持	白銀武勲x40 ニュード胚x15 ニュード結晶体x1 モノリスＮＳＩx4	350
